date,portfolio_monthly_return,portfolio_value,sp500_value
2018-09,0.0,10000,10000
2018-10,-6.317512,9368,9309
2018-11,1.4886,9508,9481
2018-12,-5.492364,8986,8646
2019-01,6.605953,9579,9338
2019-02,2.266411,9796,9642
2019-03,1.232524,9917,9815
2019-04,2.773613,10192,10217
2019-05,-4.456666,9738,9565
2019-06,5.380047,10262,10231
2019-07,0.142573,10276,10385
2019-08,-1.195523,10153,10212
2019-09,1.700934,10326,10410
2019-10,2.21261,10555,10640
2019-11,2.009083,10767,11025
2019-12,2.722979,11060,11346
2020-01,-0.861698,10965,11341
2020-02,-5.545945,10356,10444
2020-03,-12.154881,9098,9140
2020-04,8.65426,9885,10300
2020-05,4.263358,10306,10791
2020-06,2.584075,10573,10982
2020-07,4.464509,11045,11629
2020-08,4.636744,11557,12441
2020-09,-2.289037,11292,11975
2020-10,-1.672429,11103,11676
2020-11,10.068498,12221,12946
2020-12,3.974669,12707,13426
2021-01,-0.332697,12665,13289
2021-02,1.769138,12889,13659
2021-03,2.19621,13172,14279
2021-04,3.354664,13614,15035
2021-05,1.284875,13789,15133
2021-06,1.057743,13935,15473
2021-07,0.741114,14038,15850
2021-08,1.740911,14282,16322
2021-09,-3.507694,13781,15561
2021-10,4.045578,14339,16653
2021-11,-1.954148,14059,16519
2021-12,2.938678,14472,17283
2022-01,-4.013946,13891,16372
2022-02,-2.45273,13550,15889
2022-03,1.013406,13688,16486
2022-04,-7.182964,12704,15039
2022-05,0.412172,12757,15073
2022-06,-6.814404,11887,13830
2022-07,6.148232,12618,15104
2022-08,-3.897756,12126,14488
2022-09,-8.340167,11115,13148
2022-10,4.974259,11668,14217
2022-11,7.277363,12517,15008
2022-12,-3.964138,12021,14143
2023-01,6.680477,12824,15032
2023-02,-3.007823,12438,14654
2023-03,2.499771,12749,15197
2023-04,1.183074,12900,15440
2023-05,-1.102514,12758,15512
2023-06,4.010855,13270,16517
2023-07,2.901932,13655,17057
2023-08,-2.350871,13334,16780
2023-09,-4.184046,12776,15984
2023-10,-2.552329,12450,15637
2023-11,7.945186,13439,17066
2023-12,3.808067,13951,17845
2024-01,-0.09568,13937,18129
2024-02,3.36637,14406,19075
2024-03,2.382338,14750,19699
2024-04,-3.295477,14263,18904
2024-05,2.566814,14630,19861
2024-06,2.198283,14951,20561
2024-07,1.972183,15246,20810
2024-08,2.025305,15555,21297
2024-09,1.68196,15816,21744
2024-10,-2.132408,15479,21550
2024-11,3.533217,16026,22835
2024-12,-3.443172,15474,22286
2025-01,2.520929,15864,22884
2025-02,-0.061578,15855,22594
2025-03,-3.226892,15343,21335
2025-04,0.59961,15435,21150
2025-05,4.506472,16131,22479
2025-06,3.478981,16692,23564
2025-07,0.796911,16825,24107
2025-08,1.720603,17114,24337
